Name,Stage -1,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15
R1_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
M1_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1106 1104_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1105 A_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1105 B_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1105 1103_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1103 303 A_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1103 303 B_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1103 303 C_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
303 305_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
305 304_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA1 A_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA1 B_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
R1_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
M1_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
206 204_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
205 A_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
205 B_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
205 203_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
203 203 A_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
203 203 B_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
203 203 C_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
203 205_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
205 204_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA1 A_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA1 B_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
804 805 803,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
803 113,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
113,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
204 132kV,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
204 0V,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRID 1A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRID 1A LV,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
EWEH3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRID 1B,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
BOARD B,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
2L5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
3L5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRID 1A dash,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
699,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
699 CHAP,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
699 CUSTOMER,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
699 STEP UP 11kV,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
699 Auxiliary Transformer A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
699 Auxiliary Transformer B,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
