Name,Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,component
AL048B,0,0,0,0,0,0,0,0,0,0.014551005,0.014551005,0.014551005,0.014646356,0.014646356,0.014646356,0.014646356,0.014646356,0.011427216,0.011427216,0.011382081,0.011382081,0.011382081,0.011560876,0.014376242,0.014376242,0.011456501,0.011456501,0.011456501,0.014312739,0.011593593,0.014352452,0.014352452,0.014352452,0.014352452,0.014352452,busbars_voltage
BV001A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
BV001B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
SOLWAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
STCR5-_1,0,0,4.512013134,4.512013134,4.512013134,5.010628075,5.010628075,5.514017813,5.514017813,5.549108361,5.549108361,5.549108361,5.646881306,5.646881306,5.646881306,5.646881306,15.90188403,26.15688676,30.88451922,19.73364953,27.41458417,21.55066394,21.55066394,44.56353563,44.56353563,34.56353563,34.56353563,25.94760458,28.8137506,23.66276676,23.66276676,23.66276676,23.66276676,23.66276676,23.66276676,generators_active_power
CRAG0A_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,generators_active_power
CRAG0B_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,2.00E-10,generators_active_power
EWEH0G_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,2.4,2.4,3,3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,generators_active_power
WYSB0G_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,generators_active_power
MINS0G_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,7.6,7.6,7.6,9.5,9.5,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,generators_active_power
WTG_EWEH0G_1,0,0,0,0,0,0,0,0,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,generators_active_power
WTG_EWEH0G_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,7.8,7.8,7.8,7.8,7.8,7.8,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,generators_active_power
WTG_MINS0G,0,0,0,0,0,0,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,generators_active_power
STCR_D1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,generators_active_power
STCR_MOTOR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,generators_active_power
STCR5-_1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,generators_rating
CRAG0A_1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,generators_rating
CRAG0B_1,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,2.200000048,generators_rating
EWEH0G_1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,generators_rating
WYSB0G_1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,generators_rating
MINS0G_1,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,generators_rating
EWEH0G_2,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,generators_rating
WTG_EWEH0G_1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,generators_rating
STCR_D1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,generators_rating
