network,Name,Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31
chapelcross33kv,CHAP3-_STCR3-_1,0,0,5.40941E-14,5.40941E-14,5.40941E-14,-0.725482429,-0.725482429,-0.391437343,-0.391437343,0.627195757,0.627195757,0.627195757,1.586293076,1.586293076,1.586293076,1.586293076,-1.128982279,-1.128982279,-0.477147396,-0.477147396,-0.594792876,1.210215216,1.692063787,1.692063787,4.85388894,4.85388894,4.85388894,5.026377299,5.476875623,4.904143799,4.904143799,4.904143799,4.904143799,4.904143799
chapelcross33kv,LOBI3B_LOBIT2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.588490409,2.588490409,2.588490409,0.647041993,0.640438866,2.126989751,2.126989751,2.126989751,2.126989751,2.126989751
chapelcross33kv,lne_AL048A_GRNA1-_1,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapelcross33kv,lne_CHAP1-_AL048A_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapelcross33kv,lne_AL048B_GRNA1-_1,0,0,0,0,0,0,0,0,0,-0.368596677,-0.368596677,-0.368596677,-1.303552978,-1.303552978,-1.303552978,-1.303552978,-0.800892901,-0.800892901,-0.794578739,-0.794578739,-0.823065127,-0.819733004,-1.271983346,-1.271983346,-0.805001379,-0.805001379,-0.805001379,-1.260738097,-0.824379177,-1.267741807,-1.267741807,-1.267741807,-1.267741807,-1.267741807
chapelcross33kv,lne_CHAP1-_AL048B_1,0,0,0,0,0,0,0,0,0,-1.01368444,-1.01368444,-1.01368444,-1.956259741,-1.956259741,-1.956259741,-1.956259741,-1.19820369,-1.19820369,-1.188757166,-1.188757166,-1.231377735,-1.226392585,-1.900818409,-1.900818409,-1.204351185,-1.204351185,-1.204351185,-1.884030055,-1.233343669,-1.894497388,-1.894497388,-1.894497388,-1.894497388,-1.894497388
chapelcross33kv,CHAP08_CHAPX3_1,0,0,0,0,0,0,0,0,0,-6.60631E-05,-6.60631E-05,-6.60631E-05,-6.69317E-05,-6.69317E-05,-6.69317E-05,-6.69317E-05,-4.07431E-05,-4.07431E-05,-4.04218E-05,-4.04218E-05,-4.18713E-05,-4.17017E-05,-6.44857E-05,-6.44857E-05,-4.09521E-05,-4.09521E-05,-4.09521E-05,-6.39173E-05,-4.19381E-05,-6.42725E-05,-6.42725E-05,-6.42725E-05,-6.42725E-05,-6.42725E-05
chapelcross33kv,CHAP3-_SOLWAY,0,0,0,0,0,0,0,0,0,3.23117E-27,3.23117E-27,3.23117E-27,1.46186E-22,1.46186E-22,1.46186E-22,1.46186E-22,-1.81679E-18,-1.81679E-18,5.90674E-19,5.90674E-19,-1.57947E-18,-4.86675E-18,1.10577E-19,1.10577E-19,1.00778E-18,1.00778E-18,1.00778E-18,-1.36533E-21,2.5534E-18,-2.2374E-19,-2.2374E-19,-2.2374E-19,-2.2374E-19,-2.2374E-19
chapelcross132kv,CHAP3A1,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapelcross132kv,CHAP3A2,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapelcross132kv,CHAP1-_CHAP3-_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapelcross132kv,CHAP1-_CHAP3-_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapelcross132kv,CHAP1-_M1-_1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,CHAP1-_M1-_2,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,CHAP1-_R1-_1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,HARK,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,DUMF-2,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,ECCF-2,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,GRNA-2,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,DUMF-1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,ECCF-1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,CHAP1-_T1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,CHAP1-_T2,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
chapelcross132kv,GRNA-1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
stevenscroft33kv,STCR3-,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
stevenscroft33kv,STCR3-_STCR0G,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
stevenscroft33kv,STCR0G-_2,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
stevenscroft33kv,STCR0G-_1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
stevenscroft33kv,STRC0G-_STCRLVT,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
stevenscroft33kv,STCR_AUX,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
stevenscroft33kv,STCR_DIESEL ,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
minsca33kv,MINS3-,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
minsca33kv,MINS3-_MINSC,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
minsca33kv, MINS0G,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ewehillwindfarm1,EWHC3-,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ewehillwindfarm1,EWHC3-_EWHC0G_1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ewehillwindfarm1,EWHC0G,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna132kv,124 120 128,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna132kv,783 780 784,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna132kv,303 305 304,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna132kv,203 205 204,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna132kv,683 680 684,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna132kv,504 505 503,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna132kv,404 405 403,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna132kv,804 805 803,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna400kv,GRNA4-_M1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna400kv,R1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna400kv,X606 X604,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
gretna400kv,HARK A,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
