breaker,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,network
699 CUSTOMER,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 1,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 2,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 3,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 4,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 5,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 6,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 7,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 8,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 9,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 10,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 11,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 12,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 13,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 14,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 15,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 16,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 17,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
STEVENS AUX 18,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
1105,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcrossgretna1.csv
305,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcrossgretna1.csv
205,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcrossgretna2.csv
120,closed,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,gretna132kv.csv
780,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,gretna132kv.csv
680,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,gretna132kv.csv
505,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,gretna132kv.csv
405,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,gretna132kv.csv
805,closed,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,gretna132kv.csv
